,complete,error,sol,sub_data,u,u_nom
26,False,False,"[[ 1.3723354 ]
 [-0.39041975]]","{'bfs': Array([0.00267123, 0.1172555 , 0.07760856], dtype=float32), 'violated': Array(False, dtype=bool)}",[ 1.3723354  -0.39041975],[ 1.3150125 -0.6759861]
27,False,False,"[[ 1.3630949 ]
 [-0.37282333]]","{'bfs': Array([0.00303367, 0.11664267, 0.07734162], dtype=float32), 'violated': Array(False, dtype=bool)}",[ 1.3630949  -0.37282333],[ 1.3065494  -0.67146903]
28,False,False,"[[ 1.2929488]
 [-0.3466109]]","{'bfs': Array([0.00343579, 0.11603395, 0.07696661], dtype=float32), 'violated': Array(False, dtype=bool)}",[ 1.2929488 -0.3466109],[ 1.2979087  -0.66717154]
29,False,False,"[[ 1.171755 ]
 [-0.3124947]]","{'bfs': Array([0.00386054, 0.1154232 , 0.07654604], dtype=float32), 'violated': Array(False, dtype=bool)}",[ 1.171755  -0.3124947],[ 1.2895908 -0.6631902]
30,False,False,"[[ 1.0813639 ]
 [-0.28702384]]","{'bfs': Array([0.00428585, 0.11482068, 0.07613368], dtype=float32), 'violated': Array(False, dtype=bool)}",[ 1.0813639  -0.28702384],[ 1.2820073 -0.6596122]
31,False,False,"[[ 1.0086151 ]
 [-0.26656553]]","{'bfs': Array([0.00471533, 0.11422428, 0.07572718], dtype=float32), 'violated': Array(False, dtype=bool)}",[ 1.0086151  -0.26656553],[ 1.2749728 -0.6563357]
32,False,False,"[[ 0.94955623]
 [-0.24994956]]","{'bfs': Array([0.0051504 , 0.1136336 , 0.07532602], dtype=float32), 'violated': Array(False, dtype=bool)}",[ 0.94955623 -0.24994956],[ 1.268379   -0.65330124]
33,False,False,"[[ 0.89976513]
 [-0.23595546]]","{'bfs': Array([0.00559256, 0.11304791, 0.07492919], dtype=float32), 'violated': Array(False, dtype=bool)}",[ 0.89976513 -0.23595546],[ 1.2621441 -0.6504638]
34,False,False,"[[ 0.85717314]
 [-0.22399113]]","{'bfs': Array([0.00604258, 0.11246696, 0.07453643], dtype=float32), 'violated': Array(False, dtype=bool)}",[ 0.85717314 -0.22399113],[ 1.2562118 -0.6477919]
35,False,False,"[[ 0.82026434]
 [-0.21362603]]","{'bfs': Array([0.00650112, 0.11189038, 0.07414734], dtype=float32), 'violated': Array(False, dtype=bool)}",[ 0.82026434 -0.21362603],[ 1.2505381 -0.6452618]
36,False,False,"[[ 0.7893515 ]
 [-0.20488848]]","{'bfs': Array([0.00696871, 0.11131795, 0.07376166], dtype=float32), 'violated': Array(False, dtype=bool)}",[ 0.7893515  -0.20488848],[ 1.2450893 -0.6428547]
37,False,False,"[[ 0.7606718 ]
 [-0.19683176]]","{'bfs': Array([0.0074467 , 0.11074848, 0.07337823], dtype=float32), 'violated': Array(False, dtype=bool)}",[ 0.7606718  -0.19683176],[ 1.2398274  -0.64055115]
38,False,False,"[[ 0.7336505]
 [-0.1892991]]","{'bfs': Array([0.00793466, 0.11018269, 0.07299769], dtype=float32), 'violated': Array(False, dtype=bool)}",[ 0.7336505 -0.1892991],[ 1.23474   -0.6383432]
39,False,False,"[[ 0.71069443]
 [-0.18284725]]","{'bfs': Array([0.00843195, 0.10962132, 0.0726207 ], dtype=float32), 'violated': Array(False, dtype=bool)}",[ 0.71069443 -0.18284725],[ 1.2298186 -0.6362243]
40,False,False,"[[ 0.6899391 ]
 [-0.17701021]]","{'bfs': Array([0.00893977, 0.10906328, 0.0722462 ], dtype=float32), 'violated': Array(False, dtype=bool)}",[ 0.6899391  -0.17701021],[ 1.2250366  -0.63418204]
41,False,False,"[[ 0.6710792 ]
 [-0.17170168]]","{'bfs': Array([0.00945841, 0.10850837, 0.07187407], dtype=float32), 'violated': Array(False, dtype=bool)}",[ 0.6710792  -0.17170168],[ 1.2203809  -0.63220906]
42,False,False,"[[ 0.65387815]
 [-0.16685417]]","{'bfs': Array([0.00998816, 0.10795651, 0.07150413], dtype=float32), 'violated': Array(False, dtype=bool)}",[ 0.65387815 -0.16685417],[ 1.2158402 -0.6302991]
43,False,False,"[[ 0.636623  ]
 [-0.16205853]]","{'bfs': Array([0.01052928, 0.10740744, 0.07113625], dtype=float32), 'violated': Array(False, dtype=bool)}",[ 0.636623   -0.16205853],[ 1.2114038  -0.62844676]
44,False,False,"[[ 0.622097  ]
 [-0.15795802]]","{'bfs': Array([0.01108069, 0.1068622 , 0.07077131], dtype=float32), 'violated': Array(False, dtype=bool)}",[ 0.622097   -0.15795802],[ 1.2070736 -0.6266511]
45,False,False,"[[ 0.6072608 ]
 [-0.15383695]]","{'bfs': Array([0.01164382, 0.10631965, 0.07040819], dtype=float32), 'violated': Array(False, dtype=bool)}",[ 0.6072608  -0.15383695],[ 1.202832  -0.6249042]
46,False,False,"[[ 0.59482265]
 [-0.1503183 ]]","{'bfs': Array([0.01221754, 0.10578077, 0.07004782], dtype=float32), 'violated': Array(False, dtype=bool)}",[ 0.59482265 -0.1503183 ],[ 1.1986817 -0.6232061]
47,False,False,"[[ 0.58186793]
 [-0.14672245]]","{'bfs': Array([0.01280331, 0.10524437, 0.06968914], dtype=float32), 'violated': Array(False, dtype=bool)}",[ 0.58186793 -0.14672245],[ 1.1946063 -0.6215497]
48,False,False,"[[ 0.57110953]
 [-0.14367002]]","{'bfs': Array([0.01339987, 0.10471141, 0.06933304], dtype=float32), 'violated': Array(False, dtype=bool)}",[ 0.57110953 -0.14367002],[ 1.1906115 -0.619936 ]
49,False,False,"[[ 0.5596477]
 [-0.1404918]]","{'bfs': Array([0.01400879, 0.10418078, 0.06897848], dtype=float32), 'violated': Array(False, dtype=bool)}",[ 0.5596477 -0.1404918],[ 1.1866819 -0.6183587]
50,False,False,"[[ 0.5502873 ]
 [-0.13782509]]","{'bfs': Array([0.01462868, 0.1036535 , 0.06862639], dtype=float32), 'violated': Array(False, dtype=bool)}",[ 0.5502873  -0.13782509],[ 1.1828227 -0.6168189]
51,False,False,"[[ 0.5400292 ]
 [-0.13498414]]","{'bfs': Array([0.01526128, 0.10312835, 0.06827568], dtype=float32), 'violated': Array(False, dtype=bool)}",[ 0.5400292  -0.13498414],[ 1.17902    -0.61531097]
52,False,False,"[[ 0.53037626]
 [-0.1323092 ]]","{'bfs': Array([0.01590498, 0.10260652, 0.06792734], dtype=float32), 'violated': Array(False, dtype=bool)}",[ 0.53037626 -0.1323092 ],[ 1.1752815 -0.6138366]
