,complete,error,sol,sub_data,u,u_nom
170,False,True,"[[ 0.]
 [-0.]
 [ 0.]]","{'bfs': Array([0.2181172 , 0.00102873, 0.0750579 ], dtype=float32), 'complete': Array(False, dtype=bool), 'lfs': Array([17.285547], dtype=float32), 'lfs_nom': Array([1.7083632], dtype=float32), 'violated': Array(False, dtype=bool)}",[0. 0.],[0. 0. 0.]
171,False,False,"[[1.6058829e+00]
 [8.0408227e-01]
 [9.3257338e-05]]","{'bfs': Array([0.0000000e+00, 2.7748597e-06, 1.7338860e-38], dtype=float32), 'complete': Array(False, dtype=bool), 'lfs': Array([17.285547], dtype=float32), 'lfs_nom': Array([23.164782], dtype=float32), 'violated': Array(False, dtype=bool)}",[1.6058829 0.8040823],[0. 0. 0.]
172,False,False,"[[1.6977936e+00]
 [6.3090986e-01]
 [9.4871080e-05]]","{'bfs': Array([0.0000000e+00, 3.3040067e-06, 0.0000000e+00], dtype=float32), 'complete': Array(False, dtype=bool), 'lfs': Array([17.285547], dtype=float32), 'lfs_nom': Array([22.77166], dtype=float32), 'violated': Array(False, dtype=bool)}",[1.6977936  0.63090986],[0. 0. 0.]
173,False,False,"[[1.5852803e+00]
 [8.6294794e-01]
 [9.4211566e-05]]","{'bfs': Array([0.0000000e+00, 3.6272779e-06, 7.6948107e-38], dtype=float32), 'complete': Array(False, dtype=bool), 'lfs': Array([17.285547], dtype=float32), 'lfs_nom': Array([22.931438], dtype=float32), 'violated': Array(False, dtype=bool)}",[1.5852803  0.86294794],[0. 0. 0.]
174,False,False,"[[1.6426632e+00]
 [7.7489841e-01]
 [9.5398536e-05]]","{'bfs': Array([0.0000000e+00, 4.2951478e-06, 8.1014625e-38], dtype=float32), 'complete': Array(False, dtype=bool), 'lfs': Array([17.285547], dtype=float32), 'lfs_nom': Array([22.646166], dtype=float32), 'violated': Array(False, dtype=bool)}",[1.6426632 0.7748984],[0. 0. 0.]
175,False,False,"[[1.6766304e+00]
 [7.2222024e-01]
 [9.6379197e-05]]","{'bfs': Array([0.0000000e+00, 5.0142626e-06, 1.0524302e-37], dtype=float32), 'complete': Array(False, dtype=bool), 'lfs': Array([17.285547], dtype=float32), 'lfs_nom': Array([22.415762], dtype=float32), 'violated': Array(False, dtype=bool)}",[1.6766304  0.72222024],[0. 0. 0.]
176,False,False,"[[1.6331366e+00]
 [8.1827348e-01]
 [9.6468255e-05]]","{'bfs': Array([0.0000000e+00, 5.6236127e-06, 3.2343020e-37], dtype=float32), 'complete': Array(False, dtype=bool), 'lfs': Array([17.285547], dtype=float32), 'lfs_nom': Array([22.390144], dtype=float32), 'violated': Array(False, dtype=bool)}",[1.6331366 0.8182735],[0. 0. 0.]
177,False,False,"[[1.6815499e+00]
 [7.4083835e-01]
 [9.7643730e-05]]","{'bfs': Array([0.0000000e+00, 6.6207840e-06, 3.6570119e-37], dtype=float32), 'complete': Array(False, dtype=bool), 'lfs': Array([17.285547], dtype=float32), 'lfs_nom': Array([22.125103], dtype=float32), 'violated': Array(False, dtype=bool)}",[1.6815499  0.74083835],[0. 0. 0.]
178,False,False,"[[1.5896583e+00]
 [9.1380906e-01]
 [9.7156837e-05]]","{'bfs': Array([0.0000000e+00, 7.1189265e-06, 1.7000921e-36], dtype=float32), 'complete': Array(False, dtype=bool), 'lfs': Array([17.285547], dtype=float32), 'lfs_nom': Array([22.22119], dtype=float32), 'violated': Array(False, dtype=bool)}",[1.5896583  0.91380906],[0. 0. 0.]
179,False,False,"[[1.7158288e+00]
 [6.9912267e-01]
 [9.9285222e-05]]","{'bfs': Array([0.000000e+00, 8.824888e-06, 8.941647e-37], dtype=float32), 'complete': Array(False, dtype=bool), 'lfs': Array([17.285547], dtype=float32), 'lfs_nom': Array([21.760122], dtype=float32), 'violated': Array(False, dtype=bool)}",[1.7158288  0.69912267],[0. 0. 0.]
