,complete,error,sol,sub_data,u,u_nom
25,False,False,"[[ 5.0555296]
 [-1.0634031]]","{'bfs': Array([3.8845884e-16, 1.2624694e-01, 2.9753551e-06], dtype=float32), 'violated': Array(False, dtype=bool)}",[ 5.0555296 -1.0634031],[ 5.056301  -1.0635974]
26,False,False,"[[ 4.9949007]
 [-1.0112704]]","{'bfs': Array([1.2944665e-15, 1.3885491e-01, 4.6245959e-06], dtype=float32), 'violated': Array(False, dtype=bool)}",[ 4.9949007 -1.0112704],[ 4.99566   -1.0114598]
27,False,False,"[[ 4.93514  ]
 [-0.9619961]]","{'bfs': Array([4.1548419e-15, 1.5163614e-01, 7.0870278e-06], dtype=float32), 'violated': Array(False, dtype=bool)}",[ 4.93514   -0.9619961],[ 4.9358907  -0.96218145]
28,False,False,"[[ 4.8762827]
 [-0.9154072]]","{'bfs': Array([1.2861143e-14, 1.6446546e-01, 1.0712457e-05], dtype=float32), 'violated': Array(False, dtype=bool)}",[ 4.8762827 -0.9154072],[ 4.8770227  -0.91558826]
29,False,False,"[[ 4.8183513 ]
 [-0.87134105]]","{'bfs': Array([3.8440178e-14, 1.7721468e-01, 1.5977963e-05], dtype=float32), 'violated': Array(False, dtype=bool)}",[ 4.8183513  -0.87134105],[ 4.8190827 -0.871518 ]
30,False,False,"[[ 4.7613573]
 [-0.829646 ]]","{'bfs': Array([1.11065406e-13, 1.89755470e-01, 2.35249554e-05], dtype=float32), 'violated': Array(False, dtype=bool)}",[ 4.7613573 -0.829646 ],[ 4.7620807  -0.82981837]
31,False,False,"[[ 4.7053146]
 [-0.7901801]]","{'bfs': Array([3.1055391e-13, 2.0196171e-01, 3.4203709e-05], dtype=float32), 'violated': Array(False, dtype=bool)}",[ 4.7053146 -0.7901801],[ 4.70603   -0.7903478]
32,False,False,"[[ 4.650222 ]
 [-0.7528111]]","{'bfs': Array([8.4124130e-13, 2.1371223e-01, 4.9126214e-05], dtype=float32), 'violated': Array(False, dtype=bool)}",[ 4.650222  -0.7528111],[ 4.6509295  -0.75297356]
33,False,False,"[[ 4.5960836]
 [-0.717415 ]]","{'bfs': Array([2.2099425e-12, 2.2489247e-01, 6.9727343e-05], dtype=float32), 'violated': Array(False, dtype=bool)}",[ 4.5960836 -0.717415 ],[ 4.5967827 -0.7175715]
34,False,False,"[[ 4.5428867]
 [-0.6838752]]","{'bfs': Array([5.635552e-12, 2.353970e-01, 9.783369e-05], dtype=float32), 'violated': Array(False, dtype=bool)}",[ 4.5428867 -0.6838752],[ 4.543581   -0.68402576]
35,False,False,"[[ 4.490634 ]
 [-0.6520843]]","{'bfs': Array([1.39636445e-11, 2.45130658e-01, 1.35741982e-04], dtype=float32), 'violated': Array(False, dtype=bool)}",[ 4.490634  -0.6520843],[ 4.491322  -0.6522281]
36,False,False,"[[ 4.4393086]
 [-0.6219404]]","{'bfs': Array([3.3648098e-11, 2.5401020e-01, 1.8630220e-04], dtype=float32), 'violated': Array(False, dtype=bool)}",[ 4.4393086 -0.6219404],[ 4.4399905  -0.62207675]
37,False,False,"[[ 4.3888974 ]
 [-0.59334785]]","{'bfs': Array([7.8922396e-11, 2.6196527e-01, 2.5300853e-04], dtype=float32), 'violated': Array(False, dtype=bool)}",[ 4.3888974  -0.59334785],[ 4.3895745  -0.59347653]
38,False,False,"[[ 4.3393908]
 [-0.5662185]]","{'bfs': Array([1.8033397e-10, 2.6893878e-01, 3.4009092e-04], dtype=float32), 'violated': Array(False, dtype=bool)}",[ 4.3393908 -0.5662185],[ 4.340062 -0.566339]
39,False,False,"[[ 4.290772 ]
 [-0.5404689]]","{'bfs': Array([4.0173703e-10, 2.7488732e-01, 4.5260883e-04], dtype=float32), 'violated': Array(False, dtype=bool)}",[ 4.290772  -0.5404689],[ 4.2914376  -0.54058075]
40,False,False,"[[ 4.243021 ]
 [-0.5160202]]","{'bfs': Array([8.7322688e-10, 2.7978125e-01, 5.9654185e-04], dtype=float32), 'violated': Array(False, dtype=bool)}",[ 4.243021  -0.5160202],[ 4.243681  -0.5161233]
41,False,False,"[[ 4.1961246 ]
 [-0.49279973]]","{'bfs': Array([1.8533275e-09, 2.8360453e-01, 7.7887165e-04], dtype=float32), 'violated': Array(False, dtype=bool)}",[ 4.1961246  -0.49279973],[ 4.196779   -0.49289393]
42,False,False,"[[ 4.150063  ]
 [-0.47073865]]","{'bfs': Array([3.8435068e-09, 2.8635368e-01, 1.0076561e-03], dtype=float32), 'violated': Array(False, dtype=bool)}",[ 4.150063   -0.47073865],[ 4.1507115 -0.470824 ]
43,False,False,"[[ 4.1048174 ]
 [-0.44977245]]","{'bfs': Array([7.7938163e-09, 2.8803810e-01, 1.2920804e-03], dtype=float32), 'violated': Array(False, dtype=bool)}",[ 4.1048174  -0.44977245],[ 4.10546  -0.449849]
44,False,False,"[[ 4.060371  ]
 [-0.42984074]]","{'bfs': Array([1.5463355e-08, 2.8867787e-01, 1.6424970e-03], dtype=float32), 'violated': Array(False, dtype=bool)}",[ 4.060371   -0.42984074],[ 4.0610065  -0.42990863]
45,False,False,"[[ 4.0167036 ]
 [-0.41088688]]","{'bfs': Array([3.0037484e-08, 2.8830385e-01, 2.0704283e-03], dtype=float32), 'violated': Array(False, dtype=bool)}",[ 4.0167036  -0.41088688],[ 4.0173335 -0.4109465]
46,False,False,"[[ 3.9764233 ]
 [-0.35880762]]","{'bfs': Array([5.7160076e-08, 2.8695565e-01, 2.5885475e-03], dtype=float32), 'violated': Array(False, dtype=bool)}",[ 3.9764233  -0.35880762],[ 3.97442    -0.39290905]
47,False,False,"[[ 3.9371276 ]
 [-0.26358545]]","{'bfs': Array([1.0669564e-07, 2.8507036e-01, 3.2030025e-03], dtype=float32), 'violated': Array(False, dtype=bool)}",[ 3.9371276  -0.26358545],[ 3.9331303  -0.37723303]
